,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
785,0.0687993049621582,0.06719338270543901,0.002600574493408203,0.0004890268238290292,friedman_mse,10,,3,10,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10}",-0.015904210592178017,-0.012485348823010056,-0.011763582935076037,-0.01287009563036257,-0.010350354284294316,-0.012674718452984199,0.0018295622042442134,1
66,0.04226393699645996,0.057755685579213845,0.027169466018676758,0.048816157699628146,squared_error,10,,3,13,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 13}",-0.015730256616075026,-0.013049885980740009,-0.01152096172667303,-0.013298582179418929,-0.010100916876962431,-0.012740120675973885,0.0018868223006700093,2
787,0.0938377857208252,0.06684704465123002,0.004402256011962891,0.001744976121204734,friedman_mse,10,,3,15,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 15}",-0.01607967412011914,-0.012865137146051852,-0.011250773484505714,-0.013223533960087618,-0.010326562521527565,-0.012749136246458376,0.0019720520452778854,3
786,0.014709138870239257,0.002028105417577843,0.02953314781188965,0.052566652466519426,friedman_mse,10,,3,13,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 13}",-0.015674735990682764,-0.013031791293829293,-0.011451459340594683,-0.013317928849248675,-0.010393587678540919,-0.012773900630579265,0.001799558879193706,4
124,0.04440464973449707,0.05278593757771087,0.04691028594970703,0.05488080723335257,squared_error,13,,3,7,"{'criterion': 'squared_error', 'max_depth': 13, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 7}",-0.015705687003890037,-0.012999734492074849,-0.010402973953901884,-0.014049786723522853,-0.010826710956196334,-0.012796978625917194,0.0019841590439657534,5
125,0.042697906494140625,0.04856474948767769,0.027020740509033202,0.04652224184376486,squared_error,13,,3,10,"{'criterion': 'squared_error', 'max_depth': 13, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10}",-0.015661414379614467,-0.012542415041144173,-0.011954742593127114,-0.013092663772515676,-0.010734826138365261,-0.012797212384953339,0.0016321187858303011,6
907,0.013329458236694337,0.0010287656142576338,0.0031901836395263673,0.0009243526574272838,friedman_mse,15,,3,15,"{'criterion': 'friedman_mse', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 15}",-0.01595153171881392,-0.013162588343614421,-0.010047525404216554,-0.013709957384659755,-0.011183905534165456,-0.012811101677094022,0.0020532367817801666,7
967,0.013274908065795898,0.00028289776500368757,0.0029012680053710936,0.0006270791973971539,friedman_mse,18,,3,15,"{'criterion': 'friedman_mse', 'max_depth': 18, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 15}",-0.015918399217984935,-0.013156790045817992,-0.010114736690266106,-0.013669315097005136,-0.01121674457504266,-0.012815197125223365,0.0020161152535303883,8
782,0.06819963455200195,0.06600152237895894,0.003400230407714844,0.0013565444146442676,friedman_mse,10,,2,13,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 13}",-0.015445890477304332,-0.012793568286746953,-0.01119208178230435,-0.01326830980444628,-0.011495739971504096,-0.0128391180644612,0.0015165049264449732,9
783,0.0467526912689209,0.04977670895102977,0.0028018951416015625,0.0007492214379121616,friedman_mse,10,,2,15,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 15}",-0.015751554035309794,-0.013381588011103994,-0.010227794333739852,-0.013244546225872794,-0.011690545851230244,-0.012859205691451336,0.0018480877204945254,10
841,0.014915752410888671,0.0008875151945466153,0.002668905258178711,0.0007371759567504284,friedman_mse,13,,2,10,"{'criterion': 'friedman_mse', 'max_depth': 13, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",-0.015920591870792797,-0.012992981181585069,-0.010690438954358757,-0.013098762288644254,-0.011751011696337903,-0.012890757198343756,0.0017535127137760266,11
61,0.013915014266967774,0.0006506033951287043,0.04625787734985352,0.05376431715129174,squared_error,10,,2,10,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",-0.016111245953926562,-0.013044536685408918,-0.011004210362507469,-0.012697978994577155,-0.011618651960012298,-0.01289532479128648,0.001766893645808518,12
904,0.018992280960083006,0.009573538320270856,0.003305339813232422,0.0013980941394948476,friedman_mse,15,,3,7,"{'criterion': 'friedman_mse', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 7}",-0.01621246391598612,-0.013340450466640577,-0.010621226411100498,-0.013683555293961702,-0.010633552121088121,-0.012898249641755403,0.0021028529404354245,13
792,0.06885452270507812,0.06788338329440377,0.0026009082794189453,0.0004893965156824786,friedman_mse,10,,7,7,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 7}",-0.013980883126242042,-0.016090322198313894,-0.010968315900460003,-0.012705379839156821,-0.010757636447446818,-0.012900507502323915,0.0019852186193256745,14
794,0.06572961807250977,0.06438280332076929,0.0029891014099121095,0.0006589113913021289,friedman_mse,10,,7,13,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 13}",-0.013980883126242042,-0.016090322198313897,-0.010968315900460006,-0.012705379839156825,-0.010757636447446818,-0.012900507502323919,0.001985218619325675,15
74,0.04273767471313476,0.05495733387064798,0.027850866317749023,0.05070108455067905,squared_error,10,,7,13,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 13}",-0.013980883126242042,-0.016090322198313894,-0.010984210544124866,-0.012693072044650625,-0.010757636447446818,-0.012901224872155647,0.0019823847542465556,16
844,0.09927740097045898,0.06989376039519288,0.0027036190032958983,0.0007470585919873774,friedman_mse,13,,3,7,"{'criterion': 'friedman_mse', 'max_depth': 13, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 7}",-0.01591795527797366,-0.013018641101764506,-0.0113585612055751,-0.013772020267161887,-0.010439310736261549,-0.01290129771774734,0.0019138216168962593,17
793,0.04510951042175293,0.06323619730930723,0.026200008392333985,0.047902505735001155,friedman_mse,10,,7,10,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 10}",-0.013980883126242042,-0.01609032219831389,-0.010984210544124866,-0.012705379839156825,-0.01075763644744682,-0.012903686431056887,0.001982132384596786,18
72,0.08942360877990722,0.06451439150224848,0.0026004791259765627,0.0004909943709773374,squared_error,10,,7,7,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 7}",-0.013980883126242039,-0.016126772601266895,-0.010968315900460003,-0.012705379839156827,-0.01075763644744682,-0.012907797582914516,0.0019969510660061505,19
73,0.03804826736450195,0.0533080401163099,0.022707271575927734,0.04064764578686382,squared_error,10,,7,10,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 10}",-0.013980883126242042,-0.016126772601266895,-0.010984210544124866,-0.012705379839156823,-0.01075763644744682,-0.01291097651164749,0.0019938713685390542,20
780,0.09940080642700196,0.07069580909425212,0.004198408126831055,0.0024007282553114148,friedman_mse,10,,2,7,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 7}",-0.016382982889357814,-0.012723382563626474,-0.010641929171550553,-0.013347012039543919,-0.011463705458738914,-0.012911802424563534,0.0019760218966049215,21
245,0.038399791717529295,0.04730377767629994,0.0028002262115478516,0.00040042594487298014,squared_error,18,,3,10,"{'criterion': 'squared_error', 'max_depth': 18, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10}",-0.016060385278072048,-0.012890748650391689,-0.012073609505971614,-0.013074575252676034,-0.010509621791681484,-0.012921788095758575,0.0018117976064677647,22
75,0.06039924621582031,0.05958755721698364,0.002400827407836914,0.0004914791932972516,squared_error,10,,7,15,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 15}",-0.013980883126242039,-0.016094367149700202,-0.010810667489507018,-0.013035823658987294,-0.010703331644372528,-0.012925014613761814,0.0020287075410481913,23
307,0.012999773025512695,0.0006330155606295046,0.002399587631225586,0.0004908392397249076,squared_error,20,,3,15,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 15}",-0.016199437329675093,-0.013357539562469607,-0.011272119186658653,-0.013624398894563428,-0.010188440813712072,-0.012928387157415771,0.002079370236960206,24
795,0.03776545524597168,0.048741663133176474,0.02649850845336914,0.04784931411626195,friedman_mse,10,,7,15,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 15}",-0.013980883126242039,-0.016094367149700205,-0.010826562133171881,-0.013048131453493494,-0.010703331644372526,-0.01293065510139603,0.002025538472762071,25
912,0.08655157089233398,0.05943230445817415,0.002706623077392578,0.0007465622800648241,friedman_mse,15,,7,7,"{'criterion': 'friedman_mse', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 7}",-0.014170911075129545,-0.0161677180358285,-0.01053394030168885,-0.012966825031294506,-0.010849586337467854,-0.012937796156281853,0.0021020444164525,26
973,0.06825618743896485,0.06596571057698855,0.0028184890747070313,0.000520722018689078,friedman_mse,18,,7,10,"{'criterion': 'friedman_mse', 'max_depth': 18, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 10}",-0.014170911075129545,-0.0161677180358285,-0.010549834945353713,-0.012966825031294506,-0.010842746149281634,-0.01293960704737758,0.002099780336451392,27
313,0.03669867515563965,0.04866288018731854,0.024602270126342772,0.04470145150654861,squared_error,20,,7,10,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 10}",-0.014170911075129545,-0.016204168438781506,-0.01053394030168885,-0.012966825031294506,-0.010842746149281636,-0.01294371819923521,0.0021146245584065366,28
845,0.043900156021118165,0.05001285810632685,0.05267567634582519,0.0606878016203422,friedman_mse,13,,3,10,"{'criterion': 'friedman_mse', 'max_depth': 13, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10}",-0.01597974535971764,-0.013255984326495577,-0.011874802604676273,-0.013225941020409608,-0.010400992943534455,-0.01294749325096671,0.0018440489035491828,29
244,0.01639847755432129,0.0014965817628224516,0.003801393508911133,0.0009806997676739806,squared_error,18,,3,7,"{'criterion': 'squared_error', 'max_depth': 18, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 7}",-0.016252482057868597,-0.013289043805666135,-0.010528034233105618,-0.013445422508452487,-0.011229998703726625,-0.012948996261763893,0.0020045498000460893,30
132,0.0349022388458252,0.04658430954024449,0.0024033546447753905,0.0004908995028354334,squared_error,13,,7,7,"{'criterion': 'squared_error', 'max_depth': 13, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 7}",-0.014186109134601253,-0.016215061752041113,-0.010549834945353711,-0.012974830789290367,-0.010842742054356367,-0.012953715735128563,0.0021161507465664604,31
241,0.068886137008667,0.06386471972789459,0.0037049293518066407,0.00039872975475746666,squared_error,18,,2,10,"{'criterion': 'squared_error', 'max_depth': 18, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",-0.01629002944353691,-0.0127446713422031,-0.010985991067165213,-0.014018127540638728,-0.010835169089147627,-0.012974797696538315,0.0020330085698521084,32
64,0.06921906471252441,0.0709908980196163,0.0029266834259033202,0.000157184695144401,squared_error,10,,3,7,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 7}",-0.015875261931521077,-0.012239304594999952,-0.012357847581323952,-0.013335869394174485,-0.011082237023925717,-0.012978104105189037,0.0016153250034683772,33
963,0.09577851295471192,0.06549791501820883,0.002602672576904297,0.0004878371704080681,friedman_mse,18,,2,15,"{'criterion': 'friedman_mse', 'max_depth': 18, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 15}",-0.015830820472981563,-0.013063287778427683,-0.010493131049568978,-0.013636101159286545,-0.011904908819406182,-0.012985649855934192,0.0017835224457949219,34
126,0.08080005645751953,0.055818610346722246,0.0026006698608398438,0.0008006708026315484,squared_error,13,,3,13,"{'criterion': 'squared_error', 'max_depth': 13, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 13}",-0.01542824840606628,-0.013242657104454289,-0.01181371047579655,-0.013856928589126133,-0.010786330804128509,-0.01302557507591435,0.0016120758741580577,35
1021,0.015767431259155272,0.0014667056588822008,0.0030292510986328126,0.00030836095672490756,friedman_mse,20,,2,10,"{'criterion': 'friedman_mse', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",-0.016202858217947574,-0.013726571933556949,-0.011032996230337775,-0.013219694476371543,-0.010964748850897323,-0.013029373941822233,0.0019412114840662493,36
842,0.014196538925170898,0.0011080775657725122,0.0027905941009521485,0.00039521754335215657,friedman_mse,13,,2,13,"{'criterion': 'friedman_mse', 'max_depth': 13, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 13}",-0.016443822420154415,-0.01376651211238464,-0.010676189336915252,-0.013597197375279733,-0.010697595027265335,-0.013036263254399874,0.002167887816436677,37
965,0.04057655334472656,0.04686788945714837,0.002978992462158203,0.0006832525479980938,friedman_mse,18,,3,10,"{'criterion': 'friedman_mse', 'max_depth': 18, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10}",-0.016073369921509657,-0.012831400139899946,-0.011994359254868905,-0.01383050601795633,-0.010529920812739827,-0.013051911229394933,0.0018581119155769358,38
1027,0.013587760925292968,0.0006166089576694919,0.0026149749755859375,0.0003741480815963834,friedman_mse,20,,3,15,"{'criterion': 'friedman_mse', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 15}",-0.015948875315699128,-0.01316554525040558,-0.012010289153330397,-0.013708499477403107,-0.010467341733901146,-0.013060110186147871,0.0018221449803686098,39
1033,0.0703862190246582,0.06972144749467646,0.0036002635955810548,0.0012002470429759609,friedman_mse,20,,7,10,"{'criterion': 'friedman_mse', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 10}",-0.014170911075129545,-0.0161677180358285,-0.011156185909404944,-0.012966825031294506,-0.010842746149281634,-0.013060877240187826,0.001971873995171825,40
314,0.05770950317382813,0.05468356605493665,0.0027093410491943358,0.0007456557493397563,squared_error,20,,7,13,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 13}",-0.014170911075129545,-0.0161677180358285,-0.011156185909404944,-0.012966825031294506,-0.010842746149281634,-0.013060877240187826,0.001971873995171825,40
1032,0.06488990783691406,0.06213176661193093,0.028371429443359374,0.05067883576754397,friedman_mse,20,,7,7,"{'criterion': 'friedman_mse', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 7}",-0.014170911075129545,-0.0161677180358285,-0.011156185909404944,-0.012966825031294506,-0.010842746149281636,-0.01306087724018783,0.0019718739951718246,42
194,0.03995471000671387,0.05164346485969387,0.0033561229705810548,0.0006415630278188272,squared_error,15,,7,13,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 13}",-0.014170911075129545,-0.0161677180358285,-0.011156185909404944,-0.012966825031294506,-0.010849586337467852,-0.013062245277825072,0.0019703364091721498,43
1034,0.0897756576538086,0.060712256513693046,0.0030166149139404298,0.0010410924108256935,friedman_mse,20,,7,13,"{'criterion': 'friedman_mse', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 13}",-0.014170911075129545,-0.0161677180358285,-0.01117208055306981,-0.012966825031294506,-0.010842746149281636,-0.013064056168920802,0.0019688112451905363,44
192,0.06339712142944336,0.06533060352228719,0.0028037071228027345,0.00040134853059503204,squared_error,15,,7,7,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 7}",-0.014170911075129545,-0.0161677180358285,-0.011156185909404944,-0.012979565815864517,-0.010849586337467852,-0.013064793434739073,0.0019702195933961704,45
67,0.01425185203552246,0.003250821798991831,0.05712690353393555,0.06675702711944115,squared_error,10,,3,15,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 15}",-0.015871101010540276,-0.013014683138759977,-0.012502929522446455,-0.013214200482731368,-0.010723312725859253,-0.013065245376067463,0.0016551989404594478,46
974,0.09947896003723145,0.06978773934201978,0.003001880645751953,0.0012663691056788154,friedman_mse,18,,7,13,"{'criterion': 'friedman_mse', 'max_depth': 18, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 13}",-0.014170911075129541,-0.0161677180358285,-0.011172080553069808,-0.012972794414697177,-0.010842746149281636,-0.013065250045601332,0.0019687537318260895,47
913,0.0712890625,0.0716044050331003,0.0035159111022949217,0.0010006828575023611,friedman_mse,15,,7,10,"{'criterion': 'friedman_mse', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 10}",-0.014170911075129545,-0.0161677180358285,-0.01117208055306981,-0.012966825031294508,-0.010849586337467852,-0.013065424206558044,0.001967269054774896,48
914,0.042302703857421874,0.0543935908274056,0.004051065444946289,0.0016765545767929253,friedman_mse,15,,7,13,"{'criterion': 'friedman_mse', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 13}",-0.014170911075129545,-0.0161677180358285,-0.01117208055306981,-0.012966825031294508,-0.010849586337467852,-0.013065424206558044,0.001967269054774896,48
972,0.03851408958435058,0.04829457369793398,0.03054051399230957,0.05580972899301086,friedman_mse,18,,7,7,"{'criterion': 'friedman_mse', 'max_depth': 18, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 7}",-0.014170911075129541,-0.0161677180358285,-0.011172080553069808,-0.012979565815864524,-0.010842746149281636,-0.013066604325834803,0.0019686919950089054,50
312,0.012532806396484375,0.0005975434881983979,0.02308173179626465,0.041784753874258646,squared_error,20,,7,7,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 7}",-0.014170911075129541,-0.0162041684387815,-0.011156185909404944,-0.012960053630127161,-0.010842746149281636,-0.013066813040544956,0.0019834514618508954,51
252,0.0410212516784668,0.05150859875143111,0.05098800659179688,0.05459952733492599,squared_error,18,,7,7,"{'criterion': 'squared_error', 'max_depth': 18, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 7}",-0.014170911075129541,-0.0162041684387815,-0.011156185909404944,-0.012966825031294506,-0.010842746149281634,-0.013068167320778423,0.0019833804157296017,52
254,0.013199138641357421,0.0011671537812756154,0.003400278091430664,0.0004888520592391647,squared_error,18,,7,13,"{'criterion': 'squared_error', 'max_depth': 18, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 13}",-0.014170911075129541,-0.0162041684387815,-0.011156185909404944,-0.012966825031294506,-0.010842746149281634,-0.013068167320778423,0.0019833804157296017,52
853,0.012049484252929687,0.0007173650696827678,0.025948810577392577,0.04590192869230001,friedman_mse,13,,7,10,"{'criterion': 'friedman_mse', 'max_depth': 13, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 10}",-0.014186109134601253,-0.01617861134908811,-0.011156185909404944,-0.012981602190457709,-0.010842742054356366,-0.013069050127581677,0.001976883209056947,54
854,0.06840958595275878,0.07210596334321573,0.0029993534088134767,0.0008936725675538123,friedman_mse,13,,7,13,"{'criterion': 'friedman_mse', 'max_depth': 13, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 13}",-0.014186109134601253,-0.01617861134908811,-0.011156185909404944,-0.01298160219045771,-0.010842742054356367,-0.013069050127581677,0.0019768832090569467,54
133,0.061104774475097656,0.0605131081591777,0.0026013851165771484,0.0004901762832771844,squared_error,13,,7,10,"{'criterion': 'squared_error', 'max_depth': 13, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 10}",-0.014186109134601253,-0.016178611349088115,-0.011156185909404944,-0.012994342975027719,-0.010842742054356366,-0.013071598284495677,0.0019767770568616828,56
193,0.011999702453613282,0.0010948873188164547,0.002399110794067383,0.0004902518311398203,squared_error,15,,7,10,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 10}",-0.014170911075129541,-0.016204168438781502,-0.011156185909404948,-0.01297956581586452,-0.010849586337467852,-0.013072083515329671,0.0019817212135210217,57
852,0.011606550216674805,0.00041690586382418977,0.002800655364990234,0.0003993315307595272,friedman_mse,13,,7,7,"{'criterion': 'friedman_mse', 'max_depth': 13, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 7}",-0.014186109134601253,-0.01617861134908811,-0.01117208055306981,-0.012981602190457709,-0.010842742054356367,-0.013072229056314649,0.001973815068984927,58
253,0.0408935546875,0.05742211705870072,0.0030004024505615235,0.0006328628068788227,squared_error,18,,7,10,"{'criterion': 'squared_error', 'max_depth': 18, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 10}",-0.014170911075129545,-0.016204168438781502,-0.01117208055306981,-0.01297956581586452,-0.010842746149281633,-0.013073894406425401,0.0019801958211361713,59
134,0.05640006065368652,0.05318147071894083,0.03586888313293457,0.0657393350179529,squared_error,13,,7,13,"{'criterion': 'squared_error', 'max_depth': 13, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 13}",-0.014186109134601253,-0.01617861134908811,-0.01117208055306981,-0.012994342975027719,-0.010842742054356367,-0.013074777213228653,0.001973704647614975,60
195,0.013219118118286133,0.001164753436825063,0.0030681610107421873,0.0005312681877542942,squared_error,15,,7,15,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 15}",-0.014170911075129541,-0.016127394539238758,-0.010992135038819614,-0.013309576645631175,-0.01079057013416218,-0.013078117486596253,0.002006492331172642,61
903,0.01539926528930664,0.001496707721581397,0.0026005268096923827,0.0004895723491751567,friedman_mse,15,,2,15,"{'criterion': 'friedman_mse', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 15}",-0.016564600883876582,-0.013189490684467578,-0.010118364989106798,-0.013578201403957985,-0.01194487332623962,-0.013079106257529713,0.002119548380111056,62
975,0.011777162551879883,0.00022850661516003452,0.0036212444305419923,0.0016055268535250082,friedman_mse,18,,7,15,"{'criterion': 'friedman_mse', 'max_depth': 18, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 15}",-0.014170911075129545,-0.016127394539238758,-0.01100802968248448,-0.013309576645631175,-0.010783729945975967,-0.013079928377691985,0.0020047604854378934,63
915,0.05854606628417969,0.05594865541138914,0.002802133560180664,0.0004006867492166215,friedman_mse,15,,7,15,"{'criterion': 'friedman_mse', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 15}",-0.014170911075129541,-0.016127394539238758,-0.011008029682484478,-0.013309576645631175,-0.010790570134162184,-0.013081296415329227,0.0020031948278504395,64
315,0.05853095054626465,0.0567257310216755,0.03045644760131836,0.055639457688946764,squared_error,20,,7,15,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 15}",-0.014170911075129545,-0.016127394539238758,-0.011008029682484478,-0.013322317430201187,-0.010783729945975961,-0.013082476534605985,0.0020050588360522727,65
1035,0.03621549606323242,0.04628498638016237,0.03063621520996094,0.056428529815951534,friedman_mse,20,,7,15,"{'criterion': 'friedman_mse', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 15}",-0.014170911075129545,-0.016127394539238758,-0.011008029682484478,-0.013322317430201187,-0.010783729945975965,-0.013082476534605985,0.002005058836052272,65
255,0.01280055046081543,0.0011668501707145413,0.0031993865966796877,0.0007483163905596111,squared_error,18,,7,15,"{'criterion': 'squared_error', 'max_depth': 18, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 15}",-0.014170911075129541,-0.01616384494219176,-0.010992135038819614,-0.013309576645631175,-0.010783729945975965,-0.013084039529549613,0.0020191506484499196,67
855,0.06407380104064941,0.062028160445008994,0.0028015613555908204,0.0011674715438863207,friedman_mse,13,,7,15,"{'criterion': 'friedman_mse', 'max_depth': 13, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 15}",-0.014186109134601253,-0.016138287852498368,-0.011008029682484478,-0.013324353804794378,-0.010783725851050696,-0.013088101265085837,0.0020100705758566376,68
135,0.055649948120117185,0.051768411437151836,0.003199481964111328,0.0009816823845089802,squared_error,13,,7,15,"{'criterion': 'squared_error', 'max_depth': 13, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 15}",-0.014186109134601258,-0.01617473825545137,-0.010992135038819614,-0.013317582403627038,-0.010783725851050696,-0.013090858136709993,0.0020242921357111125,69
65,0.04092583656311035,0.05635758049323202,0.0028444766998291016,0.0005556626513268171,squared_error,10,,3,10,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10}",-0.016143165257661587,-0.012531811081479573,-0.013010252807348422,-0.012830911249964598,-0.010950390761863108,-0.013093306231663457,0.0016902516138470709,70
791,0.06407322883605956,0.0614544362567165,0.02785634994506836,0.04826305509985373,friedman_mse,10,,5,15,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 15}",-0.014046360227147243,-0.015062029024165036,-0.010188558183992199,-0.014639617833541412,-0.011641336597420142,-0.013115580373253204,0.0018824748218460741,71
187,0.09659895896911622,0.06874285713210106,0.0034009933471679686,0.001356178038194969,squared_error,15,,3,15,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 15}",-0.01595205995949675,-0.013201071809321823,-0.011857432692259631,-0.013680976864218661,-0.01090983153608673,-0.013120274572276719,0.0017216708026299267,72
781,0.07484331130981445,0.07509060973418112,0.0026011943817138674,0.0004925549292490237,friedman_mse,10,,2,10,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",-0.01668140542654217,-0.013171017233978384,-0.011447741991450816,-0.012815357123788423,-0.011513643137621635,-0.013125832982676286,0.0019055538696361074,73
905,0.02040095329284668,0.009891814806396709,0.002598857879638672,0.000799049566672885,friedman_mse,15,,3,10,"{'criterion': 'friedman_mse', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10}",-0.015864570689658315,-0.01282732653485399,-0.011978485298512212,-0.01379532613425686,-0.011172047251945852,-0.013127551181845446,0.0016230638949819903,74
843,0.014909029006958008,0.0010630023188554214,0.002801179885864258,0.0004018577790842094,friedman_mse,13,,2,15,"{'criterion': 'friedman_mse', 'max_depth': 13, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 15}",-0.016189212563681173,-0.013574418311495784,-0.010475719441927772,-0.013564772142360048,-0.011845257822594851,-0.013129876056411926,0.0019204730473351465,75
